行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月 
J.社會服務及個人服務業,82 社會服務業,822 學術研究服務業,32502883,26765073,33774652,34365740,41643948,41564876,43781730,43984644,40133488,37271866,37346088,35369112
J.社會服務及個人服務業,82 社會服務業,823 醫療保健服務業,215913316,183969402,230446605,240014199,289074447,290325116,306961085,307703564,289131855,265068466,244513440,233085018
J.社會服務及個人服務業,82 社會服務業,824 社會福利服務業,7089772,6583432,7197094,7209654,9494328,10459125,11288635,11416880,10411616,8776648,7619486,7439976
J.社會服務及個人服務業,82 社會服務業,825 人民團體,6041632,5250555,6443147,6674295,8063944,8532558,9510586,9688491,8979300,7828798,6970632,6633906
J.社會服務及個人服務業,82 社會服務業,829 其他社會服務業,10582898,9203468,10622544,11371042,14138987,15252557,15947608,16204900,15235368,13404480,12135231,11598280
J.社會服務及個人服務業,83 出版業,831 新聞出版業,3788021,3132075,3856964,3823750,4349526,4282181,4602284,4610855,4260628,4128776,3953161,3943742
J.社會服務及個人服務業,83 出版業,832 雜誌(含期刊)出版業,840749,810018,847077,936527,934283,1049728,1046757,1050077,1059039,927010,890988,938033
J.社會服務及個人服務業,83 出版業,833 書籍出版業,371244,316484,337187,401947,464485,576547,591997,614371,575434,515566,458918,436168
J.社會服務及個人服務業,83 出版業,839 其他出版業,267057,224158,275184,269052,425741,438626,348433,422758,432555,316767,311413,278492
J.社會服務及個人服務業,84 電影事業,841 電影片製作業,192798,168177,187855,205497,230095,251956,257808,268178,266544,220092,213144,190799
J.社會服務及個人服務業,84 電影事業,842 電影片發行業,0,0,0,0,0,0,0,0,0,0,0,0
J.社會服務及個人服務業,84 電影事業,843 電影片放映業,3832917,3450879,4210396,4489185,5324293,5444717,5727590,5901651,5433630,4733343,4308861,4139431
J.社會服務及個人服務業,84 電影事業,844 電影工業,518040,419060,536320,549460,655960,666080,716200,695820,629200,563520,539620,530000
J.社會服務及個人服務業,85 廣播電視業,851 廣播業,3296933,2995236,3486886,3334954,3572597,3601810,3749631,3770042,3575420,3486874,3310523,3287140
J.社會服務及個人服務業,85 廣播電視業,852 電視業,8520419,7213208,8712961,8571926,9640512,9544427,9939689,9891133,9311766,8955619,8680640,8554418
J.社會服務及個人服務業,85 廣播電視業,853 廣播電視節目供應業,1843429,1570630,1904289,1918192,2127998,2098017,2213014,2196782,2068928,1995165,1955124,1922971
J.社會服務及個人服務業,86 藝文業,861 技藝表演業,556526,458775,646312,676395,869967,903967,956497,979046,908185,768421,702981,677374
J.社會服務及個人服務業,86 藝文業,862 文學及藝術業,1208203,968995,1474852,1628144,2035008,2119873,2224471,2109964,2207130,2046334,1768545,1682361
J.社會服務及個人服務業,86 藝文業,863 藝文服務業,3703889,3097835,4130755,4474483,5554812,5669523,6330075,6552178,6051695,5622269,5135772,4761817
J.社會服務及個人服務業,87 娛樂業,,45624970,40912468,47812984,51703499,60511674,64199914,69675394,70123054,64861016,58959381,53366308,52334676
J.社會服務及個人服務業,88 旅館業,,130294503,118926901,141356849,147856049,172301271,180296984,192048916,195175497,182536489,166643447,154072308,152072575
J.社會服務及個人服務業,89 個人服務業,891 汽車服務業,11773934,10336908,11754234,12408963,14298537,15408826,16462915,17003739,16157142,14926394,13390609,13050989
J.社會服務及個人服務業,89 個人服務業,892 修理服務業,1766003,1633709,1943583,2059072,2602844,2795988,3024522,3104951,2851404,2538986,2282166,2084820
J.社會服務及個人服務業,89 個人服務業,893 洗染業,3154750,2838145,3220712,3318762,3438578,3471343,3756846,3886031,3770035,3510572,3501065,3528580
J.社會服務及個人服務業,89 個人服務業,894 家事服務業,120148,109714,122818,129370,141915,160317,178115,181675,166446,148400,130684,142644
J.社會服務及個人服務業,89 個人服務業,899 其他個人服務業,18835262,17197025,19661948,21276435,24237810,26644717,27720632,28381189,27113222,24686962,22396918,21837569
K.公共行政業,91 公務機構及國防事業,911 公務機構,119996364,101898204,129050945,134414467,166888354,165475958,177335967,180469075,166453221,154906992,141874936,132468602
K.公共行政業,91 公務機構及國防事業,912 國防事業,69231955,57893847,71679390,72749717,95251992,94342068,102029434,102573545,94386415,84654841,77196611,73050883
K.公共行政業,92 國際機構及外國駐在機構,國際機構及外國駐在機構,2020535,1765332,2205011,2216933,2826324,1761656,1888914,1937912,1711195,1503124,1466582,1297479
X.其他不能歸類之行業,93 家庭用(住宅用),家庭用(住宅用),214174690,194827517,223272815,227715814,235424579,247131162,265179543,270717845,267731814,245834923,232058031,231463568
X.其他不能歸類之行業,94 其他不能歸類之行業,其他不能歸類之行業,211286646,187470440,212092820,229207470,255018824,270739965,285439090,279930541,273617246,254857359,241883215,237324534
