行業別大類,行業別中類,行業別小類,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
E.用水供應及污染整治業,36 用水供應業, ,96263099,88684538,98143946,98091052,99592315,92147613,95522227,99208889,97185750,106005058,103076563,106830913
E.用水供應及污染整治業,37 廢水及污水處理業, ,1719283,2401484,3082273,3019010,3211641,3307663,3618470,8018769,8123519,8200548,7917065,8158076
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,381 廢棄物清除業,2094625,1804811,2530111,2798755,2800024,2161181,1943114,2196098,2038520,3576791,3012567,1545999
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,382 廢棄物處理業,4311755,3473176,4476764,5109385,6537572,5485880,5984700,6173957,6159076,6497836,6905809,5220625
E.用水供應及污染整治業,38 廢棄物清除、處理及資源回收處理業,383 資源回收處理業,7424618,5608052,7287860,7408527,8547133,8546491,8843655,9358163,9675474,10414380,11233994,12369760
E.用水供應及污染整治業,39 污染整治業, ,276402,255556,239339,269277,293941,255375,299705,264051,262177,252348,637495,678435
F.營建工程業,41 建築工程業, ,30742919,32567045,22365222,25530636,28296663,29967540,31574524,35867112,37261880,36583798,33912661,31453253
F.營建工程業,42 土木工程業,421 道路工程業,7969767,7044286,7854608,7907165,8159427,8419130,9045597,7160679,6996655,6570910,6213524,5874993
F.營建工程業,42 土木工程業,422 公用事業設施工程業,11961337,10679526,11913657,12121892,13025577,12937604,12410698,12251575,12511049,12282316,11180399,10757923
F.營建工程業,42 土木工程業,429 其他土木工程業,1837310,1466829,1449401,1568014,1728288,1691538,1635673,1435461,1282344,1369747,1160883,1032360
F.營建工程業,43 專門營造業,431 整地、基礎及結構工程業,1552649,1324138,1386655,1349441,1367933,1270144,1380606,1430956,1276740,1224537,1057348,924700
F.營建工程業,43 專門營造業,432 庭園景觀工程業,137823,125937,114322,122437,151323,160442,223763,146332,137906,124440,124830,105734
F.營建工程業,43 專門營造業,433 機電、管道及其他建築設備安裝業,5604928,6622729,5578415,5375697,5848386,5800599,6283026,4015361,3561028,3548794,2588977,2412427
F.營建工程業,43 專門營造業,434 建物完工裝修工程業,1621817,1364790,1445630,1637580,1775923,1474399,1590652,742106,625305,653415,536985,472935
F.營建工程業,43 專門營造業,439 其他專門營造業,2659112,2260737,2485812,2501221,2451652,2341772,2539640,2518744,2413763,2267381,2073410,1905825
G.批發及零售業,45 批發業,451 商品批發經紀業,4324381,3643991,4136613,4628684,5261512,5412155,5180547,5705873,4875909,4333583,3713882,3352935
G.批發及零售業,45 批發業,452 綜合商品批發業,8822522,7832337,8950873,9227200,10502526,10892447,11635395,10581115,9012389,8591639,8577063,7960615
G.批發及零售業,45 批發業,453 農產原料及活動物批發業,10972661,9616790,10692799,11202482,11933481,13459937,14650629,13172622,11578448,10720241,9199757,8621512
G.批發及零售業,45 批發業,454 食品、飲料及菸草製品批發業,40370866,36864858,40302299,42521313,47322808,48203412,48726728,46424809,42254388,39100518,32678347,29121151
G.批發及零售業,45 批發業,455 布疋及服飾品批發業,6882000,5624118,6504276,7377665,7996700,7200596,7764304,6680830,5910273,5499621,4239131,3677660
G.批發及零售業,45 批發業,456 家用器具及用品批發業,10068078,8388326,9521115,10154409,11395461,11480538,12095349,11020757,9964131,9506128,6242519,5385164
G.批發及零售業,45 批發業,457 藥品、醫療用品及化粧品批發業,5357027,4502368,5286710,5628000,6246948,6765577,7082163,5057703,4626751,4253732,3114090,3121913
G.批發及零售業,45 批發業,458 文教育樂用品批發業,2095077,1918303,1973253,2331689,2798752,2921584,3092833,3019440,2620027,2367244,1821723,1500820
G.批發及零售業,45 批發業,461 建材批發業,28296118,21043700,24725114,25609084,26868195,24795320,22839816,17370498,15309057,15402333,11325158,10628780
G.批發及零售業,45 批發業,462 化學原材料及其製品批發業,12723810,10573901,11942267,12664878,13935794,12918962,13200845,10671460,8943177,9030463,5926527,5606868
G.批發及零售業,45 批發業,463 燃料及相關產品批發業,10765830,10667167,2885999,2829567,2935631,2891376,3103890,2953839,2829644,2874231,2233837,2319986
G.批發及零售業,45 批發業,464 機械器具批發業,23499892,19933544,21950903,23577143,25981483,26075709,26691500,21350747,18758727,17828461,9856376,7989497
G.批發及零售業,45 批發業,465 汽機車及其零配件、用品批發業,5796487,4718432,5419015,5741322,6596064,6501024,7173091,7118590,6328596,6030481,4569225,3919845
G.批發及零售業,45 批發業,469 其他專賣批發業,10590009,8720014,10414142,10996159,12219823,11679856,11207008,9458565,8157867,8171697,5248304,5145234
G.批發及零售業,47 零售業,471 綜合商品零售業,267369697,251502844,271225214,284764875,310062794,323048015,339519393,348091799,328248018,316854301,285451965,271908367
G.批發及零售業,47 零售業,472 食品、飲料及菸草製品零售業,33486463,30079409,31374783,33581948,38556319,39694153,40999940,42097787,40991644,37550136,33359066,29530744
G.批發及零售業,47 零售業,473 布疋及服飾品零售業,11929948,10664726,10525172,11074411,13513168,14467118,15440810,16171931,16155690,14413354,12630500,10798696
G.批發及零售業,47 零售業,474 家用器具及用品零售業,10047777,9123116,9788138,10475500,12121671,12763670,13517763,14495176,13869347,12743467,10806508,9294262
G.批發及零售業,47 零售業,475 藥品、醫療用品及化粧品零售業,6300913,5977910,6133872,6579138,7840659,8319274,8703766,9200128,9312725,8377290,7504123,6356934
G.批發及零售業,47 零售業,476 文教育樂用品零售業,3938773,3565957,3841872,4095826,4877337,5147647,5556116,5625937,5172226,4706260,3807699,2788763
G.批發及零售業,47 零售業,481 建材零售業,1512661,1318340,1495707,1678187,1818653,1875899,1952813,1919955,1642772,1544999,1364961,1219976
G.批發及零售業,47 零售業,482 燃料及相關產品零售業,6608936,5958952,5988640,6284946,6886260,6616984,6686785,7246409,7189889,7140751,7168510,7057314
G.批發及零售業,47 零售業,483 資訊及通訊設備零售業,7347849,6931094,7197365,7777163,9397993,9854026,10426894,10885596,10232432,9484743,9544703,8403211
G.批發及零售業,47 零售業,484 汽機車及其零配件、用品零售業,11139973,9686024,10597549,11957191,14419276,15428624,17102072,17415778,15726915,14381330,11712268,9487127
G.批發及零售業,47 零售業,485 其他專賣零售業,5597986,5217703,5305050,5642329,6404116,6591362,7038823,7245181,7013658,6604064,5571973,4934002
G.批發及零售業,47 零售業,486 零售攤販,114871,98424,106060,82984,102056,102897,108881,127626,126479,125604,126520,141349
G.批發及零售業,47 零售業,487 其他非店面零售業,3396882,2910288,3354090,3665779,3825654,3764918,4146052,2795294,2396886,2213878,1413160,1564084
H.運輸及倉儲業,49 陸上運輸業,491 鐵路運輸業,106148670,99933041,107869704,110810507,113153443,115698800,122273691,121503396,116612290,116666278,109008531,109497840
H.運輸及倉儲業,49 陸上運輸業,492 大眾捷運系統運輸業,70292430,62743811,70678553,83681384,88036754,90798311,98952345,100828670,92477414,92976284,85806587,83554466
H.運輸及倉儲業,49 陸上運輸業,493 汽車客運業,1406016,1321397,1571370,1730416,1909410,1970549,2247346,2535378,2509332,2397684,2478172,2245452
H.運輸及倉儲業,49 陸上運輸業,494 汽車貨運業,5107319,4417445,4881011,5605279,6310149,6749111,7225205,5856157,5444751,5053952,4932211,4487443
H.運輸及倉儲業,49 陸上運輸業,499 其他陸上運輸業,78940,92300,87600,79440,80000,76400,84060,88380,87411,112555,128051,127094
H.運輸及倉儲業,50 水上運輸業,501 海洋水運業,1276100,992339,1435858,1433412,1585543,1676658,1951008,2020677,1881155,1861652,1654671,1546036
H.運輸及倉儲業,50 水上運輸業,502 內河及湖泊水運業,0,0,0,0,0,0,0,0,0,0,0,0
H.運輸及倉儲業,51 航空運輸業,,4079967,3724052,4210901,4646319,5174142,5456617,6388600,7675463,7110799,6914900,6023746,5700655
H.運輸及倉儲業,52 運輸輔助業,521 報關業,1757758,1340705,1677855,1859920,2056146,2007513,2295414,2228662,1874340,1819821,1606063,1519447
H.運輸及倉儲業,52 運輸輔助業,522 船務代理業,100955,101669,102573,121975,143019,136744,139124,140721,126548,222183,167552,117626
H.運輸及倉儲業,52 運輸輔助業,523 貨運承攬業,2333265,1945314,2123497,2403491,2671907,2952432,3314566,3415985,2944882,2849447,2340723,2135098
H.運輸及倉儲業,52 運輸輔助業,524 陸上運輸輔助業,20575975,18813716,20218799,21818353,23779025,24885763,22766447,20843508,19188066,18231583,11537671,10574849
H.運輸及倉儲業,52 運輸輔助業,525 水上運輸輔助業,14659488,12687239,15345483,16031316,17158124,17373086,18014438,18366800,17578147,17946774,16252716,15978282
