日期,備轉容量(萬瓩),備轉容量率(%)
2019/2/9,313.58,13.98
2019/2/10,302.34,13.01
2019/2/11,227.52,8.53
2019/2/12,186,6.70
2019/2/13,191.49,6.91
2019/2/14,194.35,6.88
2019/2/15,195.98,6.93
2019/2/16,242.65,9.54
2019/2/17,267.32,10.98
2019/2/18,176.18,6.15
2019/2/19,189.16,6.55
2019/2/20,183.8,6.32
2019/2/21,181.25,6.27
2019/2/22,187.01,6.58
2019/2/23,172.85,6.47
2019/2/24,177,7.17
2019/2/25,175.38,6.24
2019/2/26,181.76,6.40
2019/2/27,190.28,6.79
2019/2/28,243.02,9.54
2019/3/1,237.12,9.60
2019/3/2,183.25,7.41
2019/3/3,222.43,9.23
2019/3/4,189.45,6.84
2019/3/5,195.37,6.92
2019/3/6,192.23,6.86
2019/3/7,186.77,6.64
2019/3/8,181.61,6.50
2019/3/9,219.15,8.47
2019/3/10,182.31,7.35
2019/3/11,179.38,6.47
2019/3/12,187.92,6.73
2019/3/13,192.26,6.83
2019/3/14,177.99,6.26
2019/3/15,192.84,6.95
2019/3/16,251.85,9.95
2019/3/17,229.02,9.28
2019/3/18,175.51,6.19
2019/3/19,180.48,6.25
2019/3/20,184.37,6.22
2019/3/21,196.73,6.48
2019/3/22,234.12,7.90
2019/3/23,208.42,8.25
2019/3/24,185.93,7.49
2019/3/25,185.26,6.49
2019/3/26,188.66,6.56
2019/3/27,193.31,6.63
2019/3/28,189.2,6.29
2019/3/29,205.44,6.92
2019/3/30,215.56,8.35
2019/3/31,229.75,9.39
2019/4/1,193,6.93
2019/4/2,191.54,6.75
2019/4/3,190.48,6.69
2019/4/4,233.97,9.12
2019/4/5,187.23,7.63
2019/4/6,168.33,6.74
2019/4/7,177.8,7.04
2019/4/8,196.92,6.48
2019/4/9,196.37,6.23
2019/4/10,215.37,6.79
2019/4/11,207.87,6.81
2019/4/12,201.77,6.95
2019/4/13,176.01,6.66
2019/4/14,252.76,9.90
2019/4/15,198.62,6.91
2019/4/16,187.73,6.47
2019/4/17,204.98,6.93
2019/4/18,200.35,6.60
2019/4/19,192,6.24
2019/4/20,187.75,6.98
2019/4/21,229.8,8.74
2019/4/22,199.32,6.24
2019/4/23,202.64,6.11
2019/4/24,200.31,6.02
2019/4/25,228.97,6.91
2019/4/26,225.2,6.89
2019/4/27,199.34,7.28
2019/4/28,174,6.46
2019/4/29,221.1,6.73
2019/4/30,221.06,6.68
2019/5/1,309.34,11.53
2019/5/2,268.29,9.35
2019/5/3,331.61,11.71
2019/5/4,311.92,12.08
2019/5/5,225.54,8.90
2019/5/6,240.42,8.40
2019/5/7,260.9,9.16
2019/5/8,213.96,7.39
2019/5/9,221.23,7.57
2019/5/10,260.83,8.82
2019/5/11,283.7,10.67
2019/5/12,270.87,10.23
2019/5/13,231.13,7.19
2019/5/14,213.07,6.43
2019/5/15,225.31,6.85
2019/5/16,243.18,7.30
2019/5/17,254.63,7.88
2019/5/18,259.12,8.78
2019/5/19,212.68,7.34
2019/5/20,334.73,10.39
2019/5/21,388.73,12.97
2019/5/22,455.44,15.11
2019/5/23,471.15,15.48
2019/5/24,357.48,11.33
2019/5/25,398.44,14.33
2019/5/26,378.83,13.58
2019/5/27,270.59,8.32
2019/5/28,316.93,9.83
2019/5/29,590.49,19.48
2019/5/30,436.7,13.60
2019/5/31,451.45,13.69
2019/6/1,404.26,14.01
2019/6/2,363.22,12.59
2019/6/3,454.02,13.78
2019/6/4,454.6,14.03
2019/6/5,402.9,11.88
2019/6/6,378.46,10.85
2019/6/7,470.26,15.64
2019/6/8,330.99,11.20
2019/6/9,408.26,13.88
2019/6/10,414.72,12.43
2019/6/11,421.57,13.12
2019/6/12,541.81,17.42
2019/6/13,359.3,11.34
2019/6/14,489.54,15.85
2019/6/15,543.52,19.63
2019/6/16,496.2,17.93
2019/6/17,376.49,11.17
2019/6/18,325.68,9.38
2019/6/19,365.73,10.27
2019/6/20,370.28,10.30
2019/6/21,408.02,11.36
2019/6/22,418.99,13.55
2019/6/23,474.39,16.76
2019/6/24,541.66,17.09
2019/6/25,351.4,10.56
2019/6/26,411.23,12.53
2019/6/27,417.52,12.48
2019/6/28,356.75,10.20
2019/6/29,360.18,11.79
2019/6/30,343.89,11.43
2019/7/1,363.43,10.32
2019/7/2,488.34,13.93
2019/7/3,475.29,14.00
2019/7/4,489.46,14.33
2019/7/5,571.37,16.88
2019/7/6,443.52,14.78
2019/7/7,431.32,14.39
2019/7/8,445.48,12.67
2019/7/9,416.6,11.94
2019/7/10,389.69,11.05
2019/7/11,415.46,12.02
2019/7/12,433.22,12.16
2019/7/13,513.82,16.39
2019/7/14,325.7,10.53
2019/7/15,363.68,10.03
2019/7/16,322.39,8.73
2019/7/17,376.95,10.08
2019/7/18,407.96,11.36
2019/7/19,451.04,12.71
2019/7/20,621.81,20.31
2019/7/21,538.94,18.20
2019/7/22,575.86,16.70
2019/7/23,476.6,13.62
2019/7/24,503.75,14.16
2019/7/25,463.61,12.89
2019/7/26,389.74,10.67
2019/7/27,534.61,17.13
2019/7/28,571.38,19.27
2019/7/29,492.38,13.85
2019/7/30,406.67,11.10
2019/7/31,372.88,10.13
2019/8/1,404.21,11.08
2019/8/2,503.56,14.08
2019/8/3,587.45,18.92
2019/8/4,381.72,12.18
2019/8/5,392.77,10.70
2019/8/6,477.11,13.11
2019/8/7,471.88,13.08
2019/8/8,431.69,11.88
2019/8/9,697.72,22.70
2019/8/10,457.08,14.52
2019/8/11,418.71,13.48
2019/8/12,579.31,16.80
2019/8/13,475.21,14.02
2019/8/14,406.43,11.26
2019/8/15,635.47,18.54
2019/8/16,604.86,17.59
2019/8/17,665.48,21.87
2019/8/18,614.31,21.47
2019/8/19,637.6,19.35
2019/8/20,626.93,18.81
2019/8/21,643,19.17
2019/8/22,482.44,13.79
2019/8/23,486.8,13.85
2019/8/24,697.29,24.05
2019/8/25,546.17,18.84
2019/8/26,535.34,15.27
2019/8/27,469.2,13.18
2019/8/28,409.39,11.21
2019/8/29,405.6,11.15
2019/8/30,561.53,16.22
2019/8/31,476.7096,15.56
2019/9/1,498.2,16.81
2019/9/2,460.57,13.02
2019/9/3,458.18,12.92
2019/9/4,541.95,16.07
2019/9/5,587.61,17.66
2019/9/6,508.46,14.87
2019/9/7,489.43,16.27
2019/9/8,419.2,14.43
2019/9/9,496.09,14.44
2019/9/10,414.83,11.97
2019/9/11,457.52,12.95
2019/9/12,462.55,13.12
2019/9/13,482.41,16.42
2019/9/14,439.48,15.33
2019/9/15,538.69,19.11
2019/9/16,602.5,18.13
